Jour;Datation;Date_Format_1;Demiheure;Flux;Poids;Commande
Lundi;18/12/2023;20231218;19:00:00;Help Desk;1%;0,271715627
Lundi;18/12/2023;20231218;19:30:00;Help Desk;0%;0,104846791
Lundi;18/12/2023;20231218;20:00:00;Help Desk;0%;0,016243869
Lundi;18/12/2023;20231218;20:30:00;Help Desk;0%;0,007383577
Lundi;18/12/2023;20231218;21:00:00;Help Desk;0%;0
Lundi;18/12/2023;20231218;21:30:00;Help Desk;0%;0
Mardi;19/12/2023;20231219;08:00:00;HLB;0%;0,386882129
Mardi;19/12/2023;20231219;08:30:00;HLB;0%;0,672838486
Mardi;19/12/2023;20231219;09:00:00;HLB;1%;4,844437097
Mardi;19/12/2023;20231219;09:30:00;HLB;5%;21,59811539
Mardi;19/12/2023;20231219;10:00:00;HLB;9%;37,27525211
Mardi;19/12/2023;20231219;10:30:00;HLB;8%;32,39717309
Mardi;19/12/2023;20231219;11:00:00;HLB;7%;29,11708547
Mardi;19/12/2023;20231219;11:30:00;HLB;6%;25,38283187
Mardi;19/12/2023;20231219;12:00:00;HLB;4%;14,65105803
Mardi;19/12/2023;20231219;12:30:00;HLB;3%;10,27760787
Mardi;19/12/2023;20231219;13:00:00;HLB;2%;7,636716813
Mardi;19/12/2023;20231219;13:30:00;HLB;3%;11,13547694
Mardi;19/12/2023;20231219;14:00:00;HLB;7%;27,36770541
Mardi;19/12/2023;20231219;14:30:00;HLB;7%;27,0144652
Mardi;19/12/2023;20231219;15:00:00;HLB;6%;25,55104149
Mardi;19/12/2023;20231219;15:30:00;HLB;6%;25,53422053
Mardi;19/12/2023;20231219;16:00:00;HLB;6%;24,28946933
Mardi;19/12/2023;20231219;16:30:00;HLB;5%;21,56447347
Mardi;19/12/2023;20231219;17:00:00;HLB;5%;18,85629856
Mardi;19/12/2023;20231219;17:30:00;HLB;4%;17,62836833
Mardi;19/12/2023;20231219;18:00:00;HLB;3%;12,46433295
Mardi;19/12/2023;20231219;18:30:00;HLB;2%;6,509712349
Mardi;19/12/2023;20231219;19:00:00;HLB;1%;3,145519921
Mardi;19/12/2023;20231219;19:30:00;HLB;0%;1,143825426
Mardi;19/12/2023;20231219;20:00:00;HLB;0%;0,420524054
Mardi;19/12/2023;20231219;20:30:00;HLB;0%;0,134567697
