Jour;Date;Date_Format_1;Flux;Sous_Flux;Commande;Capacitaire
Jeudi;23/02/2023;20230223;Open;ADSL;1835;0
Jeudi;23/02/2023;20230223;Open;Fibre;1592;0
Jeudi;23/02/2023;20230223;Open;Mobile;538;4755,424745
Jeudi;23/02/2023;20230223;Open;Premium;0;0
Vendredi;24/02/2023;20230224;DART;Convergents;905;0
Vendredi;24/02/2023;20230224;DART;Mobile;236;0
Vendredi;24/02/2023;20230224;Open;ADSL;1861;0
Vendredi;24/02/2023;20230224;Open;Fibre;1624;0
Vendredi;24/02/2023;20230224;Open;Mobile;528;4667,872351
Vendredi;24/02/2023;20230224;Open;Premium;0;0
Samedi;25/02/2023;20230225;DART;Convergents;564;0
Samedi;25/02/2023;20230225;DART;Mobile;152;0
Samedi;25/02/2023;20230225;Open;ADSL;1161;0
Samedi;25/02/2023;20230225;Open;Fibre;1001;0
Samedi;25/02/2023;20230225;Open;Mobile;340;2955,381832
Samedi;25/02/2023;20230225;Open;Premium;0;0
Dimanche;26/02/2023;20230226;DART;Convergents;0;0
Dimanche;26/02/2023;20230226;DART;Mobile;0;0
Dimanche;26/02/2023;20230226;Open;ADSL;0;0
Dimanche;26/02/2023;20230226;Open;Fibre;0;0
Dimanche;26/02/2023;20230226;Open;Mobile;0;0
Lundi;27/02/2023;20230227;DART;Convergents;1115;0
Lundi;27/02/2023;20230227;DART;Mobile;299;0
Lundi;27/02/2023;20230227;Open;ADSL;2332;0
Lundi;27/02/2023;20230227;Open;Fibre;1966;0
Lundi;27/02/2023;20230227;Open;Mobile;707;5507,960691
Lundi;27/02/2023;20230227;Open;Premium;0;0
Mardi;28/02/2023;20230228;DART;Convergents;959;0
Mardi;28/02/2023;20230228;DART;Mobile;263;0
Mardi;28/02/2023;20230228;Open;ADSL;2008;0
Mardi;28/02/2023;20230228;Open;Fibre;1717;0
Mardi;28/02/2023;20230228;Open;Mobile;621;5292,66616
Mardi;28/02/2023;20230228;Open;Premium;0;0
Mercredi;01/03/2023;20230301;DART;Convergents;990;0
Mercredi;01/03/2023;20230301;DART;Mobile;257;0
Mercredi;01/03/2023;20230301;Open;ADSL;2070;0
Mercredi;01/03/2023;20230301;Open;Fibre;1860;0
Mercredi;01/03/2023;20230301;Open;Mobile;697;5509,902857
Mercredi;01/03/2023;20230301;Open;Premium;0;0
Jeudi;02/03/2023;20230302;DART;Convergents;893;0
Jeudi;02/03/2023;20230302;DART;Mobile;240;0
Jeudi;02/03/2023;20230302;Open;ADSL;1865;0
Jeudi;02/03/2023;20230302;Open;Fibre;1691;0
Jeudi;02/03/2023;20230302;Open;Mobile;650;4835,685079
Jeudi;02/03/2023;20230302;Open;Premium;0;0
Vendredi;03/03/2023;20230303;DART;Convergents;905;0
Vendredi;03/03/2023;20230303;DART;Mobile;236;0
Vendredi;03/03/2023;20230303;Open;ADSL;1891;0
Vendredi;03/03/2023;20230303;Open;Fibre;1725;0
Vendredi;03/03/2023;20230303;Open;Mobile;638;4746,988831
Vendredi;03/03/2023;20230303;Open;Premium;0;0
Samedi;04/03/2023;20230304;DART;Convergents;564;0
Samedi;04/03/2023;20230304;DART;Mobile;152;0
Samedi;04/03/2023;20230304;Open;ADSL;1180;0
Samedi;04/03/2023;20230304;Open;Fibre;1063;0
Samedi;04/03/2023;20230304;Open;Mobile;411;2967,904636
Samedi;04/03/2023;20230304;Open;Premium;0;0
Dimanche;05/03/2023;20230305;DART;Convergents;0;0
Dimanche;05/03/2023;20230305;DART;Mobile;0;0
Dimanche;05/03/2023;20230305;Open;ADSL;0;0
Dimanche;05/03/2023;20230305;Open;Fibre;0;0
Dimanche;05/03/2023;20230305;Open;Mobile;0;0
Lundi;06/03/2023;20230306;DART;Convergents;1040;0
Lundi;06/03/2023;20230306;DART;Mobile;224;0
Lundi;06/03/2023;20230306;Open;ADSL;2328;0
Lundi;06/03/2023;20230306;Open;Fibre;2062;0
Lundi;06/03/2023;20230306;Open;Mobile;795;5277,843735
Lundi;06/03/2023;20230306;Open;Premium;0;0
Mardi;07/03/2023;20230307;DART;Convergents;896;0
Mardi;07/03/2023;20230307;DART;Mobile;197;0
Mardi;07/03/2023;20230307;Open;ADSL;2004;0
Mardi;07/03/2023;20230307;Open;Fibre;1803;0
Mardi;07/03/2023;20230307;Open;Mobile;699;5166,476962
Mardi;07/03/2023;20230307;Open;Premium;0;0
Mercredi;08/03/2023;20230308;DART;Convergents;924;0
Mercredi;08/03/2023;20230308;DART;Mobile;194;0
Mercredi;08/03/2023;20230308;Open;ADSL;2069;0
Mercredi;08/03/2023;20230308;Open;Fibre;1870;0
Mercredi;08/03/2023;20230308;Open;Mobile;685;5351,181376
Mercredi;08/03/2023;20230308;Open;Premium;0;0
Jeudi;09/03/2023;20230309;DART;Convergents;833;0
Jeudi;09/03/2023;20230309;DART;Mobile;180;0
Jeudi;09/03/2023;20230309;Open;ADSL;1863;0
Jeudi;09/03/2023;20230309;Open;Fibre;1700;0
Jeudi;09/03/2023;20230309;Open;Mobile;638;4674,049685
Jeudi;09/03/2023;20230309;Open;Premium;0;0
Vendredi;10/03/2023;20230310;DART;Convergents;845;0
Vendredi;10/03/2023;20230310;DART;Mobile;177;0
Vendredi;10/03/2023;20230310;Open;ADSL;1889;0
Vendredi;10/03/2023;20230310;Open;Fibre;1734;0
Vendredi;10/03/2023;20230310;Open;Mobile;626;4507,44171
Vendredi;10/03/2023;20230310;Open;Premium;0;0
Samedi;11/03/2023;20230311;DART;Convergents;526;0
Samedi;11/03/2023;20230311;DART;Mobile;114;0
Samedi;11/03/2023;20230311;Open;ADSL;1179;0
Samedi;11/03/2023;20230311;Open;Fibre;1068;0
Samedi;11/03/2023;20230311;Open;Mobile;403;2839,893747
Samedi;11/03/2023;20230311;Open;Premium;0;0
Dimanche;12/03/2023;20230312;DART;Convergents;0;0
Dimanche;12/03/2023;20230312;DART;Mobile;0;0
Dimanche;12/03/2023;20230312;Open;ADSL;0;0
Dimanche;12/03/2023;20230312;Open;Fibre;0;0
Dimanche;12/03/2023;20230312;Open;Mobile;0;0
Lundi;13/03/2023;20230313;DART;Convergents;1044;0
Lundi;13/03/2023;20230313;DART;Mobile;232;0
Lundi;13/03/2023;20230313;Open;ADSL;2329;0
Lundi;13/03/2023;20230313;Open;Fibre;1993;0
Lundi;13/03/2023;20230313;Open;Mobile;789;5281,555298
Lundi;13/03/2023;20230313;Open;Premium;0;0
Mardi;14/03/2023;20230314;DART;Convergents;899;0
Mardi;14/03/2023;20230314;DART;Mobile;204;0
Mardi;14/03/2023;20230314;Open;ADSL;2004;0
Mardi;14/03/2023;20230314;Open;Fibre;1741;0
Mardi;14/03/2023;20230314;Open;Mobile;694;5155,556743
