Date_Format_1;Flux;Sous_Flux;Abandons;Appels_abandon_sur_sonnerie;Appels_courts;Appels_mis_en_attente;Appels_rotation_sur_sonnerie;Appels_traites;Capacitaire;Commande;Courts;DAbd;DR;Dissuades;Duree_THC;Duree_conversation_appels_entrants;Duree_dispo_CC;Duree_garde_appels_entrants;Duree_log_face_au_client;Duree_log_face_au_client_hors_attente;Duree_log_total;Duree_pas_libre;Duree_pause_entre_appels;Duree_traitement;Duree_wrapup;Presentes;Presentes_ELI;Prevision;Traites;Traites_ELI;Datation;Jour;Mois;Semaine;Annee;Semaine_Format_2;Trimestre
20230110;Open;Fibre;17,0;0,0;0,0;0,0;0,0;0,0;0,0;1647,0;21,0;1435,0;4980,0;15,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1999,0;0,0;1830,0;1943,0;0,0;10/01/2023;Mardi;Janvier;S02;2023;2023-Sem02;2023 - T1
20230110;Open;Mobile;3,0;5,0;67,0;2678,0;14,0;4926,0;5894,491564;557,0;0,0;419,0;1624,0;6,0;93885,0628;2004628,0;981275,0702000001;647652,0;4391993,3202;3410718,2822;5139109,2564;160790,5115;15578,4466;2813070,5103;51327,0;733,0;0,0;618,8888888888889;719,0;25,0;10/01/2023;Mardi;Janvier;S02;2023;2023-Sem02;2023 - T1
20230110;Open;Premium;5,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,0;440,0;588,0;7,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;426,0;0,0;0,0;406,0;0,0;10/01/2023;Mardi;Janvier;S02;2023;2023-Sem02;2023 - T1
20230111;DART;Convergent;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;115,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;35,0;0,0;0,0;35,0;0,0;11/01/2023;Mercredi;Janvier;S02;2023;2023-Sem02;2023 - T1
20230111;DART;Convergents;0,0;0,0;0,0;0,0;0,0;0,0;0,0;77,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;85,55555555555556;0,0;0,0;11/01/2023;Mercredi;Janvier;S02;2023;2023-Sem02;2023 - T1
20230111;DART;Mobile;0,0;0,0;1,0;30,0;0,0;52,0;0,0;17,0;0,0;0,0;11,0;0,0;2587,0992;19326,0;42467,1655;9230,0;83255,7836;40788,6179;97513,6697;5880,3213;95,2223;34436,3211;3198,0;17,0;0,0;18,88888888888889;17,0;0,0;11/01/2023;Mercredi;Janvier;S02;2023;2023-Sem02;2023 - T1
20230111;Open;ADSL;22,0;0,0;0,0;0,0;0,0;0,0;0,0;2017,0;16,0;1274,0;17381,0;15,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1728,0;227,0;2241,1111111111113;1683,0;210,0;11/01/2023;Mercredi;Janvier;S02;2023;2023-Sem02;2023 - T1
20230111;Open;Fibre;10,0;0,0;0,0;0,0;0,0;0,0;0,0;1710,0;9,0;28,0;2794,0;9,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1891,0;0,0;1900,0;1859,0;0,0;11/01/2023;Mercredi;Janvier;S02;2023;2023-Sem02;2023 - T1
20230111;Open;Mobile;9,0;3,0;47,0;2626,0;13,0;4694,0;6072,986208;545,0;0,0;17,0;4102,0;5,0;101137,62819999999;1912504,0;1073127,4845;654853,0;4380332,1325;3307204,6585;5038941,2891;162450,8612;13384,2324;2729807,8352;47929,0;757,0;0,0;605,5555555555555;737,0;30,0;11/01/2023;Mercredi;Janvier;S02;2023;2023-Sem02;2023 - T1
20230111;Open;Premium;4,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,0;15,0;560,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;408,0;0,0;0,0;404,0;0,0;11/01/2023;Mercredi;Janvier;S02;2023;2023-Sem02;2023 - T1
20230112;DART;Convergent;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;39,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;34,0;0,0;0,0;34,0;0,0;12/01/2023;Jeudi;Janvier;S02;2023;2023-Sem02;2023 - T1
