Date_Format_1;Appels_traites;Capacitaire;Chorus;Commande;Courts;DUREE;Den_Satisfaction_Decouverte;Duree_dispo_CC;Duree_log_face_au_client_hors_attente;Duree_log_total;Duree_retrait_formation;Duree_retrait_management;Duree_retrait_pause;Etoile_1;Etoile_2;Etoile_3;Etoile_4;Etoile_5;H_ABS_ABS;H_PLA_ABS;H_REA_ABS;Hagrid;Happy;NbCas;NbScript;NbreAppelTraite;NbreTransfertsAccompAveug;Nbre_Tracage_ND;Presentes;Prevision;Reit1J;Reit1h;Reit7J;Reit7J_7;Satisfaction_Decouverte;Traites;exploitables;exploitables_7;exploitables_Tracage;Datation;Jour;Mois;Semaine;Annee;Semaine_Format_2;Trimestre
20230202,0;4733,0;5241,445652;1,0;4753,0;25,0;594900,0;147,0;1609357,982;3064034,7183;5353879,8993;121,0;139375,0;391276,0;11,0;7,0;8,0;30,0;106,0;372,1;2274,0;1901,8999999999999;6,0;73,0;0,0;0,0;4725,0;260,0;0,0;4825,0;5281,111111111111;437,0;194,0;924,0;924,0;68,0;4727,0;4581,0;4581,0;4051,0;02/02/2023;Jeudi;Février;S05;2023;2023-Sem05;2023 - T1
20230203,0;4408,0;5084,332714;1,0;4807,0;19,0;571560,0;122,0;1938064,6433;2940790,1676;5539654,6443;820,0;120740,0;402996,0;7,0;4,0;7,0;14,0;110,0;284,9834;2206,5;1921,5166;6,0;76,0;0,0;0,0;4401,0;194,0;0,0;4502,0;5341,111111111111;376,0;197,0;911,0;911,0;59,0;4405,0;4245,0;4245,0;3860,0;03/02/2023;Vendredi;Février;S05;2023;2023-Sem05;2023 - T1
20230204,0;2760,0;3205,142208;0,0;2998,0;12,0;172800,0;101,0;1301824,6181;1807216,031;3466335,7398;1153,0;15824,0;271495,0;9,0;3,0;5,0;23,0;85,0;212,7331;1204,5;991,7669;2,0;25,0;0,0;0,0;2757,0;165,0;0,0;2839,0;3331,1111111111113;196,0;131,0;606,0;606,0;53,0;2759,0;2643,0;2643,0;2439,0;04/02/2023;Samedi;Février;S05;2023;2023-Sem05;2023 - T1
20230205,0;0,0;0,0;0,0;0,0;0,0;0,0;109,0;1472,1819;70,6363;2151,7273;0,0;0,0;0,0;9,0;4,0;3,0;20,0;90,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;56,0;0,0;0,0;0,0;0,0;05/02/2023;Dimanche;Février;S05;2023;2023-Sem05;2023 - T1
20230206,0;5750,0;6246,561888;4,0;6349,0;27,0;1524840,0;118,0;1972057,0;3780948,0;6465931,0;1472,0;84732,0;476106,0;4,0;4,0;7,0;30,0;101,0;423,4164;2805,0;2381,5836;6,0;72,0;0,0;0,0;5745,0;271,0;0,0;5879,0;7054,444444444445;523,0;238,0;1168,0;1168,0;59,0;5738,0;5538,0;5538,0;5058,0;06/02/2023;Lundi;Février;S06;2023;2023-Sem06;2023 - T1
20230207,0;7337,0;6084,988718;5,0;5512,0;23,0;1230840,0;56,0;831122,5222;4670941,8983;6144023,2342;2775,0;54098,0;426862,0;2,0;1,0;2,0;15,0;43,0;296,4331;2490,0;2193,5669;10,0;76,0;0,0;0,0;7334,0;347,0;0,0;7931,0;6124,444444444444;677,0;303,0;1428,0;1428,0;25,0;7301,0;7123,0;7123,0;6302,0;07/02/2023;Mardi;Février;S06;2023;2023-Sem06;2023 - T1
20230208,0;5974,0;6225,409218;1,0;5653,0;33,0;1056540,0;109,0;1408628,2062;3840513,2845;5960413,8539;6083,0;102017,0;445351,0;9,0;8,0;4,0;8,0;92,0;295,6501;2393,0;2097,3499;8,0;52,0;0,0;0,0;5968,0;290,0;0,0;6047,0;6281,111111111111;510,0;218,0;1136,0;1136,0;63,0;5954,0;5783,0;5783,0;5239,0;08/02/2023;Mercredi;Février;S06;2023;2023-Sem06;2023 - T1
20230209,0;5301,0;5508,980096;1,0;5135,0;21,0;877380,0;181,0;1153449,5965;3525489,3129;5324393,1823;990,0;103703,0;391431,0;13,0;3,0;9,0;32,0;152,0;268,8661;2162,5;1893,6339;5,0;86,0;0,0;0,0;5298,0;273,0;0,0;5337,0;5705,555555555556;430,0;193,0;953,0;953,0;86,0;5283,0;5125,0;5125,0;4488,0;09/02/2023;Jeudi;Février;S06;2023;2023-Sem06;2023 - T1
20230210,0;4874,0;5390,909076;3,0;5194,0;19,0;677220,0;131,0;1320031,5;3169796,8997;5123084,336;1500,0;111465,0;378305,0;9,0;7,0;6,0;24,0;101,0;350,0667;2073,5;1723,4333;5,0;77,0;0,0;0,0;4869,0;277,0;0,0;4979,0;5771,111111111111;394,0;212,0;874,0;874,0;67,0;4857,0;4703,0;4703,0;4131,0;10/02/2023;Vendredi;Février;S06;2023;2023-Sem06;2023 - T1
20230211,0;3859,0;3399,245676;1,0;3239,0;13,0;169380,0;137,0;871450,3359;2417434,2837;3690279,8923;584,0;22972,0;282936,0;12,0;4,0;4,0;20,0;120,0;251,5996;1334,0;1082,4004;4,0;22,0;0,0;0,0;3855,0;205,0;0,0;3913,0;3598,888888888889;251,0;161,0;788,0;788,0;76,0;3844,0;3723,0;3723,0;3408,0;11/02/2023;Samedi;Février;S06;2023;2023-Sem06;2023 - T1
20230212,0;0,0;0,0;0,0;0,0;0,0;0,0;138,0;446,9;99,80000000000001;633,4;0,0;0,0;0,0;7,0;5,0;5,0;22,0;116,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;72,0;0,0;0,0;0,0;0,0;12/02/2023;Dimanche;Février;S06;2023;2023-Sem06;2023 - T1
20230213,0;7078,0;6044,900255;4,0;6447,0;31,0;1332720,0;160,0;1188081,6;4308105,6;6273992,4;1833,0;126526,0;498754,0;14,0;2,0;8,0;15,0;133,0;456,1662;2697,0;2240,8338;8,0;77,0;0,0;0,0;7067,0;720,0;0,0;7121,0;7163,333333333334;601,0;319,0;1274,0;1274,0;94,0;7035,0;6857,0;6857,0;4970,0;13/02/2023;Lundi;Février;S07;2023;2023-Sem07;2023 - T1
20230214,0;6130,0;5924,825506;1,0;5596,0;32,0;784380,0;50,0;1579165,5182;3622705,4994;5927508,1182;257,0;101659,0;478971,0;5,0;0,0;2,0;8,0;42,0;347,1667;2355,0;2007,8333;8,0;65,0;0,0;0,0;6112,0;876,0;0,0;6120,0;6217,777777777778;477,0;235,0;976,0;976,0;26,0;6093,0;5955,0;5955,0;3822,0;14/02/2023;Mardi;Février;S07;2023;2023-Sem07;2023 - T1
20230215,0;6520,0;5921,822893;11,0;5739,0;35,0;860100,0;111,0;1169342,6645;3749240,4703;5557251,7185;111,0;73440,0;445137,0;11,0;2,0;5,0;13,0;96,0;381,6835;2303,0;1921,3165;7,0;85,0;0,0;0,0;6510,0;845,0;0,0;6538,0;6376,666666666667;497,0;254,0;1049,0;1049,0;60,0;6472,0;6341,0;6341,0;4318,0;15/02/2023;Mercredi;Février;S07;2023;2023-Sem07;2023 - T1
20230216,0;7157,0;5099,875342;5,0;5213,0;36,0;858180,0;152,0;289131,966;4076256,0888;4966528,4178;296,0;102038,0;369116,0;10,0;3,0;11,0;34,0;120,0;255,9334;1978,5;1722,5665999999999;4,0;95,0;0,0;0,0;7147,0;884,0;0,0;7481,0;5792,222222222223;591,0;298,0;1232,0;1232,0;74,0;7064,0;6941,0;6941,0;4754,0;16/02/2023;Jeudi;Février;S07;2023;2023-Sem07;2023 - T1
20230217,0;6315,0;4775,558672;6,0;5272,0;27,0;545760,0;112,0;459723,7524;3716644,0833;4759209,4743;180,0;83870,0;374925,0;5,0;5,0;10,0;14,0;95,0;351,4662;1872,5;1521,0338;7,0;67,0;0,0;0,0;6307,0;952,0;0,0;6494,0;5857,777777777777;446,0;257,0;997,0;997,0;65,0;6266,0;6152,0;6152,0;3958,0;17/02/2023;Vendredi;Février;S07;2023;2023-Sem07;2023 - T1
20230218,0;3432,0;3023,561545;4,0;3290,0;22,0;342480,0;137,0;949330,6965;2020645,9564;3334359,017;3,0;17078,0;260918,0;15,0;2,0;8,0;21,0;114,0;325,4831;1362,5;1037,0169;6,0;40,0;0,0;0,0;3430,0;350,0;0,0;3457,0;3655,5555555555557;211,0;149,0;592,0;592,0;77,0;3410,0;3337,0;3337,0;2214,0;18/02/2023;Samedi;Février;S07;2023;2023-Sem07;2023 - T1
20230219,0;0,0;0,0;0,0;0,0;0,0;0,0;156,0;0,0;0,0;0,0;0,0;0,0;0,0;11,0;5,0;8,0;15,0;135,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;81,0;0,0;0,0;0,0;0,0;19/02/2023;Dimanche;Février;S07;2023;2023-Sem07;2023 - T1
20230220,0;6938,0;5376,818769;5,0;6306,0;44,0;1031700,0;129,0;1168200,4545;4069670,0;5919859,4546;2964,0;76766,0;464740,0;8,0;6,0;3,0;19,0;120,0;547,1501;2685,0;2137,8502;3,0;54,0;0,0;0,0;6931,0;687,0;0,0;6970,0;7006,666666666667;623,0;322,0;1240,0;1240,0;77,0;6906,0;6725,0;6725,0;4514,0;20/02/2023;Lundi;Février;S08;2023;2023-Sem08;2023 - T1
20230221,0;6299,0;5234,424991;3,0;5471,0;22,0;537000,0;73,0;1215732,6364;3609722,7273;5484584,8181;40899,0;86216,0;436452,0;3,0;3,0;5,0;12,0;61,0;511,2672;2370,0;1858,7495;9,0;72,0;0,0;0,0;6284,0;589,0;0,0;6314,0;6078,88888888889;487,0;250,0;1053,0;1053,0;42,0;6247,0;6110,0;6110,0;3937,0;21/02/2023;Mardi;Février;S08;2023;2023-Sem08;2023 - T1
20230222,0;6482,0;5411,646702;1,0;5612,0;44,0;809100,0;131,0;934459,0;3845306,0;5413212,0;16432,0;55310,0;426744,0;9,0;5,0;7,0;23,0;106,0;325,13349999999997;2248,0;1922,8665;3,0;51,0;0,0;0,0;6474,0;477,0;0,0;6500,0;6235,555555555556;556,0;300,0;1130,0;1130,0;67,0;6409,0;6255,0;6255,0;4239,0;22/02/2023;Mercredi;Février;S08;2023;2023-Sem08;2023 - T1
20230223,0;6074,0;4755,424745;2,0;5098,0;43,0;434340,0;142,0;1228832,5;3624948,7272;5451482,2273;4527,0;50169,0;429503,0;11,0;4,0;9,0;26,0;121,0;321,0335;2134,5;1813,4665;2,0;55,0;0,0;0,0;6068,0;475,0;0,0;6089,0;5664,444444444444;499,0;237,0;1054,0;1054,0;74,0;6034,0;5883,0;5883,0;3635,0;23/02/2023;Jeudi;Février;S08;2023;2023-Sem08;2023 - T1
20230224,0;5992,0;4667,872351;5,0;5154,0;35,0;399540,0;111,0;1165982,8181;3495864,7273;5223439,5454;3555,0;46181,0;420053,0;9,0;3,0;5,0;21,0;93,0;313,4505;2109,0;1795,5495;5,0;73,0;0,0;0,0;5976,0;430,0;0,0;6011,0;5726,666666666667;459,0;240,0;1035,0;1035,0;62,0;5960,0;5792,0;5792,0;3768,0;24/02/2023;Vendredi;Février;S08;2023;2023-Sem08;2023 - T1
